requested_name,official_name,tier,limen_category,allowed_roles,recommended_addition,google_category,license,designer,latin_ext,spanish_verified,spanish_missing,studio_enabled_initial,variable,axes,source_path
Open Sans,Open Sans,experimental,moderna-funcional,titulo|narrativa|funcional,False,SANS_SERIF,OFL,Steve Matteson,True,True,,False,True,wdth|wght,ofl/opensans
Roboto,Roboto,experimental,moderna-funcional,titulo|narrativa|funcional,False,SANS_SERIF,OFL,"Christian Robertson, ParaType, Font Bureau",True,True,,False,True,wdth|wght,ofl/roboto
Amaranth,Amaranth,experimental,texto-clasico,titulo|narrativa,False,SANS_SERIF,OFL,Gesine Todt,False,True,,False,False,,ofl/amaranth
Cambo,Cambo,experimental,texto-clasico,titulo|narrativa,False,SERIF,OFL,"HT Fonts, Carolina Giovagnoli, Andres Torresi",True,True,,False,False,,ofl/cambo
Domine,Domine,experimental,texto-clasico,titulo|narrativa,False,SERIF,OFL,Impallari Type,True,True,,False,True,wght,ofl/domine
Headland One,Headland One,experimental,texto-clasico,titulo|narrativa,False,SERIF,OFL,Gary Lonergan,True,True,,False,False,,ofl/headlandone
Merriweather,Merriweather,experimental,texto-clasico,titulo|narrativa,False,SERIF,OFL,Sorkin Type,True,True,,False,True,opsz|wdth|wght,ofl/merriweather
Overlock,Overlock,experimental,texto-clasico,titulo|narrativa,False,DISPLAY,OFL,Dario Manuel Muhafara,True,True,,False,False,,ofl/overlock
Risque,Risque,experimental,urbana-impacto,protagonista|titulo,False,DISPLAY,OFL,Astigmatic,True,True,,False,False,,ofl/risque
Alex Brush,Alex Brush,principal,caligrafica-romantica,protagonista|acento,False,HANDWRITING,OFL,Robert Leuschke,True,True,,True,False,,ofl/alexbrush
Allura,Allura,principal,caligrafica-romantica,protagonista|acento,False,HANDWRITING,OFL,Robert Leuschke,True,True,,True,False,,ofl/allura
Bonheur Royale,Bonheur Royale,principal,caligrafica-romantica,protagonista|acento,True,HANDWRITING,OFL,Robert Leuschke,True,True,,True,False,,ofl/bonheurroyale
Carattere,Carattere,principal,caligrafica-romantica,protagonista|acento,True,HANDWRITING,OFL,Robert Leuschke,True,True,,True,False,,ofl/carattere
Euphoria Script,Euphoria Script,principal,caligrafica-romantica,protagonista|acento,False,HANDWRITING,OFL,Sabrina Mariela Lopez,True,True,,True,False,,ofl/euphoriascript
Mea Culpa,Mea Culpa,principal,caligrafica-romantica,protagonista|acento,False,HANDWRITING,OFL,Robert Leuschke,True,True,,True,False,,ofl/meaculpa
Pinyon Script,Pinyon Script,principal,caligrafica-romantica,protagonista|acento,False,HANDWRITING,OFL,Nicole Fally,True,True,,True,False,,ofl/pinyonscript
Sacramento,Sacramento,principal,caligrafica-romantica,protagonista|acento,False,HANDWRITING,OFL,Astigmatic,True,True,,True,False,,ofl/sacramento
WindSong,WindSong,principal,caligrafica-romantica,protagonista|acento,False,HANDWRITING,OFL,Robert Leuschke,True,True,,True,False,,ofl/windsong
Abril Fatface,Abril Fatface,principal,editorial-elegante,protagonista|titulo|narrativa,False,DISPLAY,OFL,TypeTogether,True,True,,True,False,,ofl/abrilfatface
Bodoni Moda,Bodoni Moda,principal,editorial-elegante,protagonista|titulo|narrativa,False,SERIF,OFL,Owen Earl,True,True,,True,True,opsz|wght,ofl/bodonimoda
